id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,,,alpha-2,name,iso_country,,,,sub_div_codes,name,iso_region
30229,SNOF,small_airport,Ouro Fino Airport,-22.29750061,-46.3932991,2818,SA,Brazil,Minas Gerais,Ouro Fino,no,SNOF,0,,,,,,,BI,Burundi,BR,Brazil,,,AZ-ZAN,Z?ngilan,
30297,SNOP,small_airport,Propriá Airport,-10.26720047,-36.83359909,164,SA,Brazil,Sergipe,Propriá,no,SNOP,0,,,,,,,CV,Cabo Verde,BR,Brazil,,,AZ-ZAQ,Zaqatala,
30247,SNPB,small_airport,Pastos Bons Airport,-6.666940212,-44.08390045,197,SA,Brazil,Maranh�o,Pastos Bons,no,SNPB,0,,,,,,,KH,Cambodia,BR,Brazil,,,AZ-ZAR,Z?rdab,
30255,SNPI,small_airport,Piatã Airport,-13.00059986,-41.77500153,4118,SA,Brazil,Bahia,Piatã,no,SNPI,0,,,,,,,CM,Cameroon,BR,Brazil,,,BA-BIH,Federacija Bosne i Hercegovine,
32339,SNPJ,small_airport,Patrocínio Airport,-18.90940094,-46.98270035,3229,SA,Brazil,Minas Gerais,Patrocínio,no,SNPJ,0,,,,,,,CA,Canada,BR,Brazil,,,BA-BRC,Brcko distrikt,
30277,SNPO,small_airport,Pompeu Airport,-19.20330048,-45.02330017,2313,SA,Brazil,Minas Gerais,Pompeu,no,SNPO,0,,,,,,,KY,Cayman Islands,BR,Brazil,,,BA-SRP,Republika Srpska,
30244,SNPU,small_airport,Paraguaçu Airport,-21.55920029,-45.75170135,2838,SA,Brazil,Minas Gerais,Paraguaçu,no,SNPU,0,,,,,,,CF,Central African Republic,BR,Brazil,,,BB-1,Christ Church,
30100,SNQP,small_airport,Fazenda São Francisco Airport,-20.56749916,-50.2303009,1437,SA,Brazil,S�o Paulo,Magda,no,SNQP,0,,,,,,,TD,Chad,BR,Brazil,,,BB-2,Saint Andrew,
30342,SNRP,small_airport,Rio Paranaíba Airport,-19.21249962,-46.24060059,3757,SA,Brazil,Minas Gerais,Rio Paranaíba,no,SNRP,0,,,,,,,CL,Chile,BR,Brazil,,,BB-3,Saint George,
30332,SNRX,small_airport,Riachão Airport,-7.350279808,-46.63389969,1312,SA,Brazil,Maranh�o,Riachão,no,SNRX,0,,,,,,,CN,China,BR,Brazil,,,BB-4,Saint James,
30368,SNSC,small_airport,Sacramento Airport,-19.89310074,-47.42219925,3288,SA,Brazil,Minas Gerais,Sacramento,no,SNSC,0,,,,,,,CX,Christmas Island,BR,Brazil,,,BB-5,Saint John,
32340,SNSH,small_airport,São José Airport,-2.574440002,-54.73139954,440,SA,Brazil,Par�,Santarém,no,SNSH,0,,,,,,,CC,Cocos (Keeling) Islands,BR,Brazil,,,BB-6,Saint Joseph,
30155,SNTK,small_airport,Monte Carmelo Airport,-18.71719933,-47.48310089,2904,SA,Brazil,Minas Gerais,Monte Carmelo,no,SNTK,0,,,,,,,CO,Colombia,BR,Brazil,,,BB-7,Saint Lucy,
29741,SNTQ,small_airport,Buritirama Airport,-10.72420025,-43.65470123,1690,SA,Brazil,Bahia,Buritirama,no,SNTQ,0,,,,,,,KM,Comoros,BR,Brazil,,,BB-8,Saint Michael,
32343,SNVD,small_airport,Santa Maria da Vitória Airport,-13.40060043,-44.21720123,1850,SA,Brazil,Bahia,Santa Maria Da Vitória,no,SNVD,0,,,,,,,CG,Congo,BR,Brazil,,,BB-9,Saint Peter,
29798,SNVG,small_airport,Volta Grande Airport,-20.03389931,-48.23389816,1831,SA,Brazil,Minas Gerais,Conceição Das Alagoas,no,SNVG,0,,,,,,,CD,Congo (Democratic Republic of the),BR,Brazil,,,BB-10,Saint Philip,
